DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
16-08-2019,1600.900024,418.950012,40.299999,290.899994,555.900024,441.899994,2100,3337.199951,1498.949951,1265.999634
19-08-2019,1617.099976,423.399994,38.299999,286.850006,560,440.549988,2114.050049,3328.050049,1496.349976,1280.462524
20-08-2019,1631.650024,416.899994,36.400002,283.700012,563.650024,441.049988,2090.100098,3294.100098,1505.099976,1263.968872
21-08-2019,1624.800049,412.049988,34.599998,277.399994,556.349976,431.200012,2066.899902,3261.449951,1505.75,1259.015747
22-08-2019,1621.099976,399.100006,32.900002,268.549988,550.549988,423.799988,2014.099976,3114.100098,1478.25,1235.042969
23-08-2019,1645.5,395.399994,34.5,271.100006,553.25,421.450012,2043.75,3174.350098,1470.199951,1263.869751
26-08-2019,1680.349976,411.649994,36.200001,280.200012,557.150024,420.149994,2148.350098,3324.25,1512.800049,1254.904785
27-08-2019,1648.599976,418.600006,38,285.700012,559.700012,424,2174.300049,3357.75,1501.550049,1262.87915
28-08-2019,1659.25,412.950012,39.900002,284.899994,565,421,2187.149902,3326.350098,1483.650024,1251.437622
29-08-2019,1656.25,404.399994,41.849998,274.5,570.400024,418.649994,2128.449951,3299.300049,1450.849976,1230.089966
30-08-2019,1690.449951,409.649994,39.799999,273.850006,584.299988,430.350006,2166.449951,3332.5,1431.449951,1236.826172
03-09-2019,1624.699951,392.149994,37.849998,268.399994,579.799988,414.25,2089.899902,3258.5,1414.300049,1195.071899
04-09-2019,1641.199951,397.5,39.700001,275.100006,573.5,426,2100.100098,3250.25,1426.449951,1189.871216
05-09-2019,1632,389,39.700001,273.299988,578.900024,427.649994,2044.150024,3292.699951,1410.150024,1187.345215
06-09-2019,1648.650024,391.350006,39.099998,273.950012,579.450012,419.899994,2041.449951,3373,1441.550049,1211.020752
09-09-2019,1675.650024,395.450012,38.950001,278,587.799988,419.950012,2064.25,3437.350098,1471.300049,1210.723511
11-09-2019,1664.050049,394.600006,38.75,285.25,591.950012,429.049988,2071.850098,3416.399902,1475.199951,1222.80896
12-09-2019,1723.050049,402.700012,38.099998,287.049988,586.849976,427.700012,2082.75,3382.350098,1457.550049,1198.984863
13-09-2019,1718.849976,413.399994,37.400002,291.700012,596.5,427.950012,2083.850098,3427.350098,1484.25,1214.091675
16-09-2019,1671.5,412.149994,36.900002,284.700012,588.299988,426.799988,2046.75,3418.850098,1474.949951,1199.381104
17-09-2019,1667.599976,400.649994,36.5,273.950012,576.5,278.25,1996.25,3368.399902,1448.300049,1186.205933
18-09-2019,1677.800049,399.350006,35.799999,280.399994,581.849976,292.149994,1988.300049,3413.850098,1464.75,1194.37854
